Transect,Collect_date (dd.mm.yy),distance_from_marsh,distance_from_water (m),num_barnacled,total_num,length,barnacled
KKIMC,16.07.2021,126,15,NA,NA,23,yes
KKIMC,16.07.2021,126,15,NA,NA,26,yes
KKIMC,16.07.2021,123,18,1,2,24,no
KKIMC,16.07.2021,123,18,NA,NA,28.5,yes
KK,16.07.2021,120,21,0,1,24,no
KK,16.07.2021,117,24,2,4,24,yes
KK,16.07.2021,117,24,NA,NA,26,yes
KK,16.07.2021,117,24,NA,NA,29,no
KK,16.07.2021,117,24,NA,NA,27,no
KK,16.07.2021,114,27,3,6,27,yes
KK,16.07.2021,114,27,NA,NA,32,yes
KK,16.07.2021,114,27,NA,NA,25,yes
KK,16.07.2021,114,27,NA,NA,27,no
KK,16.07.2021,114,27,NA,NA,25,no
KK,16.07.2021,114,27,NA,NA,25,no
KK,16.07.2021,111,30,0,2,25,no
KK,16.07.2021,111,30,NA,NA,23,no
KK,16.07.2021,108,33,NA,0,NA,NA
KK,16.07.2021,105,3,1,2,38,yes
KK,16.07.2021,105,36,NA,NA,22,no
KK,16.07.2021,102,39,0,2,20,no
KK,16.07.2021,102,39,NA,NA,21,no
KK,16.07.2021,99,42,1,8,30,yes
KK,16.07.2021,99,42,NA,NA,18,no
KK,16.07.2021,99,42,NA,NA,20,no
KK,16.07.2021,99,42,NA,NA,19,no
KK,16.07.2021,99,42,NA,NA,35,no
KK,16.07.2021,99,42,NA,NA,17,no
KK,16.07.2021,99,42,NA,NA,25,no
KK,16.07.2021,99,42,NA,NA,32,no
KK,16.07.2021,96,42,0,2,37,no
KK,16.07.2021,96,42,NA,NA,25,no
KK,16.07.2021,93,45,1,1,29,yes
KK,16.07.2021,90,48,3,3,30,yes
KK,16.07.2021,90,48,NA,NA,28,yes
KK,16.07.2021,90,48,NA,NA,33,yes
KK,16.07.2021,87,51,1,3,32,yes
KK,16.07.2021,87,51,NA,NA,27,no
KK,16.07.2021,87,51,NA,NA,24,no
KK,16.07.2021,84,54,1,4,39,yes
KK,16.07.2021,84,54,NA,NA,21,no
KK,16.07.2021,84,54,NA,NA,27,no
KK,16.07.2021,84,54,NA,NA,25,no
KK,16.07.2021,81,57,NA,0,NA,NA
KK,16.07.2021,78,60,3,7,29,yes
KK,16.07.2021,78,60,NA,NA,28,yes
KK,16.07.2021,78,60,NA,NA,32,yes
KK,16.07.2021,78,60,NA,NA,15,no
KK,16.07.2021,78,60,NA,NA,33,no
KK,16.07.2021,78,60,NA,NA,22,no
KK,16.07.2021,78,60,NA,NA,12,no
KK,16.07.2021,75,63,2,5,26,yes
KK,16.07.2021,75,63,NA,NA,33,yes
KK,16.07.2021,75,63,NA,NA,29,no
KK,16.07.2021,75,63,NA,NA,29,no
KK,16.07.2021,75,63,NA,NA,18,no
KK,16.07.2021,72,66,0,6,25,no
KK,16.07.2021,72,66,NA,NA,29,no
KK,16.07.2021,72,66,NA,NA,16,no
KK,16.07.2021,72,66,NA,NA,16,no
KK,16.07.2021,72,66,NA,NA,14,no
KK,16.07.2021,72,66,NA,NA,16,no
KK,16.07.2021,69,69,0,4,19,no
KK,16.07.2021,69,69,NA,NA,16,no
KK,16.07.2021,69,69,NA,NA,20,no
KK,16.07.2021,69,69,NA,NA,19,no
KK,16.07.2021,66,72,2,7,25,yes
KK,16.07.2021,66,72,NA,NA,25,yes
KK,16.07.2021,66,72,NA,NA,30,no
KK,16.07.2021,66,72,NA,NA,24,no
KK,16.07.2021,66,72,NA,NA,23,no
KK,16.07.2021,66,72,NA,NA,15,no
KK,16.07.2021,66,72,NA,NA,12,no
KK,16.07.2021,63,75,1,10,25,yes
KK,16.07.2021,63,75,NA,NA,22,no
KK,16.07.2021,63,75,NA,NA,18,no
KK,16.07.2021,63,75,NA,NA,17,no
KK,16.07.2021,63,75,NA,NA,21,no
KK,16.07.2021,63,75,NA,NA,18,no
KK,16.07.2021,63,75,NA,NA,16,no
KK,16.07.2021,63,75,NA,NA,18,no
KK,16.07.2021,63,75,NA,NA,15,no
KK,16.07.2021,63,75,NA,NA,13,no
KK,16.07.2021,60,78,0,6,10,no
KK,16.07.2021,60,78,NA,NA,17,no
KK,16.07.2021,60,78,NA,NA,15,no
KK,16.07.2021,60,78,NA,NA,23,no
KK,16.07.2021,60,78,NA,NA,15,no
KK,16.07.2021,60,78,NA,NA,19,no
KK,16.07.2021,57,81,0,3,24,no
KK,16.07.2021,57,81,NA,NA,20,no
KK,16.07.2021,57,81,NA,NA,12,no
KK,16.07.2021,54,84,1,5,35,yes
KK,16.07.2021,54,84,NA,NA,26,no
KK,16.07.2021,54,84,NA,NA,18,no
KK,16.07.2021,54,84,NA,NA,16,no
KK,16.07.2021,54,84,NA,NA,11,no
KK,16.07.2021,51,87,0,5,31,no
KK,16.07.2021,51,87,NA,NA,24,no
KK,16.07.2021,51,87,NA,NA,24,no
KK,16.07.2021,51,87,NA,NA,15,no
KK,16.07.2021,51,87,NA,NA,14,no
KK,16.07.2021,48,90,0,5,23,no
KK,16.07.2021,48,90,NA,NA,28,no
KK,16.07.2021,48,90,NA,NA,29,no
KK,16.07.2021,48,90,NA,NA,24,no
KK,16.07.2021,48,90,NA,NA,24,no
KK,16.07.2021,45,93,1,3,24,yes
KK,16.07.2021,45,93,NA,NA,24,no
KK,16.07.2021,45,93,NA,NA,19,no
KK,16.07.2021,42,96,0,5,23,no
KK,16.07.2021,42,96,NA,NA,18,no
KK,16.07.2021,42,96,NA,NA,19,no
KK,16.07.2021,42,96,NA,NA,15,no
KK,16.07.2021,42,96,NA,NA,27,no
KK,16.07.2021,39,99,0,4,21,no
KK,16.07.2021,39,99,NA,NA,21,no
KK,16.07.2021,39,99,NA,NA,22,no
KK,16.07.2021,39,99,NA,NA,33,no
KK,16.07.2021,36,102,1,4,27,yes
KK,16.07.2021,36,102,NA,NA,14,no
KK,16.07.2021,36,102,NA,NA,17,no
KK,16.07.2021,36,102,NA,NA,14,no
KK,16.07.2021,33,105,0,3,33,no
KK,16.07.2021,33,105,NA,NA,23,no
KK,16.07.2021,33,105,NA,NA,22,no
KK,16.07.2021,30,108,1,10,24,yes
KK,16.07.2021,30,108,NA,NA,15,no
KK,16.07.2021,30,108,NA,NA,19,no
KK,16.07.2021,30,108,NA,NA,24,no
KK,16.07.2021,30,108,NA,NA,24,no
KK,16.07.2021,30,108,NA,NA,23,no
KK,16.07.2021,30,108,NA,NA,10,no
KK,16.07.2021,30,108,NA,NA,11,no
KK,16.07.2021,30,108,NA,NA,9,no
KK,16.07.2021,30,108,NA,NA,9,no
KK,16.07.2021,27,111,0,2,14,no
KK,16.07.2021,27,111,NA,NA,26,no
KK,16.07.2021,24,114,1,3,23,yes
KK,16.07.2021,24,114,NA,NA,20,no
KK,16.07.2021,24,114,NA,NA,24,no
KK,16.07.2021,21,117,NA,0,NA,NA
KK,16.07.2021,18,121,1,1,21,yes
KK,16.07.2021,15,124,0,1,21,no
KK,16.07.2021,12,127,0,1,26,no
KK,16.07.2021,9,130,0,1,27,no
KK,16.07.2021,6,133,1,1,21,yes
KK,16.07.2021,3,136,1,1,23,yes
KK,16.07.2021,0,139,6,11,23,no
KK,16.07.2021,0,139,NA,NA,25,yes
KK,16.07.2021,0,139,NA,NA,24,no
KK,16.07.2021,0,139,NA,NA,22,yes
KK,16.07.2021,0,139,NA,NA,20,yes
KK,16.07.2021,0,139,NA,NA,23,no
KK,16.07.2021,0,139,NA,NA,26,yes
KK,16.07.2021,0,139,NA,NA,23,no
KK,16.07.2021,0,139,NA,NA,23,yes
KK,16.07.2021,0,139,NA,NA,14,no
AG,16.07.2021,0,150,3,5,22,yes
AG,16.07.2021,0,150,NA,NA,25,no
AG,16.07.2021,0,150,NA,NA,23,yes
AG,16.07.2021,0,150,NA,NA,25,yes
AG,16.07.2021,0,150,NA,NA,26,no
AG,16.07.2021,3,147,NA,0,NA,NA
AG,16.07.2021,6,144,1,2,23,yes
AG,16.07.2021,6,144,NA,NA,30,no
AG,16.07.2021,9,141,0,1,41,no
AG,16.07.2021,12,138,0,1,33,no
AG,16.07.2021,15,135,1,1,26,yes
AG,16.07.2021,18,132,0,2,29,no
AG,16.07.2021,18,132,NA,NA,23,no
AG,16.07.2021,21,129,2,3,23,no
AG,16.07.2021,21,129,NA,,33,yes
AG,16.07.2021,21,129,NA,,24,yes
AG,16.07.2021,24,126,NA,0,NA,NA
AG,16.07.2021,27,123,3,7,31,yes
AG,16.07.2021,27,123,NA,NA,34,no
AG,16.07.2021,27,123,NA,NA,31,no
AG,16.07.2021,27,123,NA,NA,33,no
AG,16.07.2021,27,123,NA,NA,37,yes
AG,16.07.2021,27,123,NA,NA,25,yes
AG,16.07.2021,27,123,NA,NA,21,no
AG,16.07.2021,30,120,1,2,34,yes
AG,16.07.2021,30,120,NA,NA,32,no
AG,16.07.2021,33,117,0,4,27,no
AG,16.07.2021,33,117,NA,NA,28,no
AG,16.07.2021,33,117,NA,NA,29,no
AG,16.07.2021,33,117,NA,NA,30,no
AG,16.07.2021,36,114,0,5,23,no
AG,16.07.2021,36,114,NA,NA,25,no
AG,16.07.2021,36,114,NA,NA,28,no
AG,16.07.2021,36,114,NA,NA,24,no
AG,16.07.2021,36,114,NA,NA,29,no
AG,16.07.2021,39,111,0,3,32,no
AG,16.07.2021,39,111,NA,NA,32,no
AG,16.07.2021,39,111,NA,NA,14,no
AG,16.07.2021,42,108,1,2,28,yes
AG,16.07.2021,42,108,NA,NA,22,no
AG,16.07.2021,45,105,1,3,27,yes
AG,16.07.2021,45,105,NA,,22,no
AG,16.07.2021,45,105,NA,,22,no
AG,16.07.2021,48,102,1,5,29,yes
AG,16.07.2021,48,102,NA,NA,36,no
AG,16.07.2021,48,102,NA,NA,23,no
AG,16.07.2021,48,102,NA,NA,29,no
AG,16.07.2021,48,102,NA,NA,25,no
AG,16.07.2021,51,99,NA,0,NA,NA
AG,16.07.2021,54,96,1,1,26,yes
AG,16.07.2021,57,93,0,4,22,no
AG,16.07.2021,57,93,NA,NA,22,no
AG,16.07.2021,57,93,NA,NA,25,no
AG,16.07.2021,57,93,NA,NA,26,no
AG,16.07.2021,60,90,0,2,9,no
AG,16.07.2021,60,90,NA,NA,15,no
AG,16.07.2021,63,87,1,2,23,yes
AG,16.07.2021,63,87,NA,NA,15,no
AG,16.07.2021,66,84,2,6,31,yes
AG,16.07.2021,66,84,NA,NA,30,yes
AG,16.07.2021,66,84,NA,NA,21,no
AG,16.07.2021,66,84,NA,NA,21,no
AG,16.07.2021,66,84,NA,NA,12,no
AG,16.07.2021,66,84,NA,NA,9,no
AG,16.07.2021,69,81,0,1,32,no
AG,16.07.2021,72,78,4,7,9,no
AG,16.07.2021,72,78,NA,NA,26,yes
AG,16.07.2021,72,78,NA,NA,34,yes
AG,16.07.2021,72,78,NA,NA,30,yes
AG,16.07.2021,72,78,NA,NA,30,yes
AG,16.07.2021,72,78,NA,NA,13,no
AG,16.07.2021,72,78,NA,NA,37,no
AG,16.07.2021,75,75,2,6,21,yes
AG,16.07.2021,75,75,NA,NA,26,yes
AG,16.07.2021,75,75,NA,NA,30,no
AG,16.07.2021,75,75,NA,NA,18,no
AG,16.07.2021,75,75,NA,NA,14,no
AG,16.07.2021,75,75,NA,NA,16,no
AG,16.07.2021,78,72,0,1,16,no
AG,16.07.2021,81,69,0,4,27,no
AG,16.07.2021,81,69,NA,NA,22,no
AG,16.07.2021,81,69,NA,NA,17,no
AG,16.07.2021,81,69,NA,NA,15,no
AG,16.07.2021,84,66,0,1,24,no
AG,16.07.2021,87,63,2,2,32,yes
AG,16.07.2021,87,63,NA,NA,26,yes
AG,16.07.2021,90,60,5,8,22,no
AG,16.07.2021,90,60,NA,NA,28,no
AG,16.07.2021,90,60,NA,NA,29,no
AG,16.07.2021,90,60,NA,NA,28,yes
AG,16.07.2021,90,60,NA,NA,35,yes
AG,16.07.2021,90,60,NA,NA,37,yes
AG,16.07.2021,90,60,NA,NA,25,yes
AG,16.07.2021,90,60,NA,NA,24,yes
AG,16.07.2021,93,57,2,2,35,yes
AG,16.07.2021,93,57,NA,NA,27,yes
AG,16.07.2021,93,57,NA,NA,,
AG,16.07.2021,96,54,0,4,29,no
AG,16.07.2021,96,54,NA,NA,21,no
AG,16.07.2021,96,54,NA,NA,19,no
AG,16.07.2021,96,54,NA,NA,13,no
AG,16.07.2021,99,51,2,6,35,yes
AG,16.07.2021,99,51,NA,NA,27,yes
AG,16.07.2021,99,51,NA,NA,23,no
AG,16.07.2021,99,51,NA,NA,23,no
AG,16.07.2021,99,51,NA,NA,24,no
AG,16.07.2021,99,51,NA,NA,17,no
AG,16.07.2021,102,48,2,4,25,yes
AG,16.07.2021,102,48,NA,NA,24,yes
AG,16.07.2021,102,48,NA,NA,17,no
AG,16.07.2021,102,48,NA,NA,17,no
AG,16.07.2021,105,45,0,2,37,no
AG,16.07.2021,105,45,NA,NA,35,no
AG,16.07.2021,108,42,2,4,33,no
AG,16.07.2021,108,42,NA,NA,26,no
AG,16.07.2021,108,42,NA,NA,23,no
AG,16.07.2021,108,42,NA,NA,16,no
AG,16.07.2021,111,39,1,2,30,yes
AG,16.07.2021,111,39,NA,NA,29,no
AG,16.07.2021,114,36,NA,0,NA,NA
AG,16.07.2021,117,33,2,3,24,yes
AG,16.07.2021,117,33,NA,NA,26,yes
AG,16.07.2021,117,33,NA,NA,30,no
AG,16.07.2021,120,30,4,5,33,yes
AG,16.07.2021,120,30,NA,NA,26,yes
AG,16.07.2021,120,30,NA,NA,29,yes
AG,16.07.2021,120,30,NA,NA,33,yes
AG,16.07.2021,120,30,NA,NA,35,no
AG,16.07.2021,126,24,1,2,30,yes
AG,16.07.2021,126,24,NA,NA,25,no
AG,16.07.2021,129,21,4,8,22,yes
AG,16.07.2021,129,21,NA,NA,24,yes
AG,16.07.2021,129,21,NA,NA,23,yes
AG,16.07.2021,129,21,NA,NA,23,yes
AG,16.07.2021,129,21,NA,NA,27,no
AG,16.07.2021,129,21,NA,NA,23,no
AG,16.07.2021,129,21,NA,NA,20,no
AG,16.07.2021,129,21,NA,NA,27,no
AG,16.07.2021,138,12,6,9,24,yes
AG,16.07.2021,138,12,NA,NA,24,yes
AG,16.07.2022,138,12,NA,NA,23,yes
AG,16.07.2021,138,12,NA,NA,20,yes
AG,16.07.2021,138,12,NA,NA,22,yes
AG,16.07.2021,138,12,NA,NA,23,yes
AG,16.07.2021,138,12,NA,NA,21,no
AG,16.07.2021,138,12,NA,NA,21,no
AG,16.07.2021,138,12,NA,NA,20,no
AG,16.07.2021,150,0,1,3,22,yes
AG,16.07.2021,150,0,NA,NA,24,no
AG,16.07.2021,150,0,NA,NA,23,no
AGIMC,16.07.2021,123,21,0,1,17,no
AGIMC,16.07.2021,132,12,2,6,28,no
AGIMC,16.07.2021,132,12,NA,NA,8,no
AGIMC,16.07.2021,132,12,NA,NA,9,no
AGIMC,16.07.2021,132,12,NA,NA,21,no
AGIMC,16.07.2021,132,12,NA,NA,24.5,yes
AGIMC,16.07.2021,132,12,NA,NA,27,yes
AGIMC,16.07.2021,135,9,8,10,21.5,yes
AGIMC,16.07.2021,135,9,NA,NA,25,yes
AGIMC,16.07.2021,135,9,NA,NA,23,yes
AGIMC,16.07.2021,135,9,NA,NA,21.5,yes
AGIMC,16.07.2021,135,9,NA,NA,22,yes
AGIMC,16.07.2021,135,9,NA,NA,21,yes
AGIMC,16.07.2021,135,9,NA,NA,22.5,yes
AGIMC,16.07.2021,135,9,NA,NA,26,yes
AGIMC,16.07.2021,135,9,NA,NA,21,no
AGIMC,16.07.2021,135,9,NA,NA,22,no
AGIMC,16.07.2021,141,3,NA,0,NA,NA
AGIMC,16.07.2021,144,0,NA,0,NA,NA
