Observer,Collect_date (dd.mm.yy),Dissect_date,Distance_from_water (m),Barnacled (yes/no),Snail_length (mm),Snail_width,Snail_apert,Snail_wet_wgt (g),Barnacle_number,Barnacle_wet_wgt_total,Trematodes (yes/no),Gonads (yes/no)
KP,18.06.21,16.07.21,7,no,28,10,8,1.43,NA,NA,yes,no
KP,18.06.21,16.07.21,7,yes,26,9,7,1.17,3,0.14,yes,no
KP,18.06.21,16.07.21,7,no,31,11,8,1.89,NA,NA,yes,no
KP,18.06.21,16.07.21,7,yes,31,11,8,1.81,3,0.27,yes,no
KP,18.06.21,16.07.21,7,no,34,12,10,2.58,NA,NA,yes,no
KP,18.06.21,16.07.21,7,yes,33,12,9,2.56,9,0.96,yes,no
KP,18.06.21,16.07.21,8,no,33,11,9,2.24,NA,NA,yes,no
KP,18.06.21,16.07.21,8,yes,28,12,9,1.91,8,0.68,yes,no
KP,18.06.21,16.07.21,8,no,33,11,10,2.29,NA,NA,yes,no
KP,18.06.21,16.07.21,8,yes,36,12,10,2.7,3,0.32,yes,no
KP,18.06.21,16.07.21,8,no,35,12,10,3.2,NA,NA,yes,no
KP,18.06.21,16.07.21,8,yes,36,14,12,3.41,4,0.06,yes,no
KP,18.06.21,16.07.21,9,no,38,12,9,2.42,NA,NA,yes,no
KP,18.06.21,16.07.21,9,yes,31,12,11,2.52,3,0.08,yes,no
KK,18.06.21,23.07.21,step 5 (amanda),no,23,10,8,1.11,NA,NA,no,yes
KK,18.06.21,23.07.21,step 5 (amanda),yes,26,10,9,1.21,3,0.04,no,yes
KK,18.06.21,23.07.21,step 6 (amanda),yes,30,11,10,1.79,8,0.47,yes,no
KK,18.06.21,23.07.21,step 6 (amanda),no,26,10,9,1.34,NA,NA,no,no
KK,18.06.21,23.07.21,step 6 (amanda),no,31,10,10,1.96,NA,NA,no,no
KK,18.06.21,23.07.21,step 6 (amanda),no,26.5,9,10,1.43,NA,NA,no,no
KK,18.06.21,23.07.21,step 6 (amanda),yes,37,12,10,3.19,5,0.27,yes,no
KK,18.06.21,23.07.21,step 6 (amanda),yes,25,10,8,1.28,10,0.38,no,yes
KK,18.06.21,23.07.21,step 7 (amanda),yes,23.5,9,9,1.1,2,0.08,yes,no
KK,18.06.21,23.07.21,step 7 (amanda),no,29,8,8,1.35,NA,NA,yes,no
KK,18.06.21,23.07.21,step 7 (amanda),yes,33,11,10,2.01,1,0.12,yes,no
KK,18.06.21,23.07.21,step 7 (amanda),yes,29,10,10,1.15,1,0.09,yes,no
KK,18.06.21,23.07.21,step 7 (amanda),no,27,10,9,1.4,NA,NA,yes,no
KK,18.06.21,23.07.21,step 7 (amanda),no,24,9,8,1.09,NA,NA,yes,no
KK,18.06.21,23.07.21,step 8 (amanda),no,27,9,9,1.3,NA,NA,yes,no
KK,18.06.21,23.07.21,step 8 (amanda),no,29,10,9,1.46,NA,NA,yes,no
KK,18.06.21,23.07.21,step 8 (amanda),no,31,10,10,2.23,NA,NA,yes,no
KK,18.06.21,23.07.21,step 8 (amanda),no,32,11,11,2.86,NA,NA,yes,no
KK,18.06.21,23.07.21,step 1 (isabelle),no,36,11,11,2.51,NA,NA,yes,no
KK,18.06.21,23.07.21,step 1 (isabelle),no,19,7,7,0.6,NA,NA,no,yes
KK,18.06.21,23.07.21,step 1 (isabelle),no,24,8,9,0.9,NA,NA,no,no
KK,18.06.21,23.07.21,step 1 (isabelle),yes,21,8,7,0.65,4,0.34,no,yes
KK,18.06.21,23.07.21,step 1 (isabelle),yes,32,12,10,2.41,1,0.25,yes,no
KK,18.06.21,23.07.21,step 1 (isabelle),yes,22,8,7,1.05,4,0.7,yes,no
KK,18.06.21,23.07.21,step 2 (isabelle),yes,23,8,7,0.98,1,0.11,no,yes
KK,18.06.21,23.07.21,step 2 (isabelle),yes,34.5,13,11,3.33,1,0.81,yes,no
KK,18.06.21,23.07.21,step 2 (isabelle),yes,22,9,8,0.97,1,1.03,no,yes
KK,18.06.21,23.07.21,step 2 (isabelle),no,29,10,8,1.48,NA,NA,yes,no
KK,18.06.21,23.07.21,step 2 (isabelle),no,22,8,8,0.78,NA,NA,yes,no
KK,18.06.21,23.07.21,step 2 (isabelle),no,21.5,7,7,0.75,NA,NA,no,yes
KK,18.06.21,23.07.21,step 3 (isabelle),no,35,14,10,2.79,NA,NA,yes,no
KK,18.06.21,23.07.21,step 3 (isabelle),yes,35,13,11,3.4,1,0.11,yes,no
KK,18.06.21,23.07.21,step 3 (isabelle),no,35,10,11,2.24,NA,NA,yes,no
KK,18.06.21,23.07.21,step 3 (isabelle),yes,35,12,12,3.49,2,0.3,yes,no
KK,18.06.21,23.07.21,step 3 (isabelle),no,23,9,8.5,0.99,NA,NA,yes,no
KK,18.06.21,23.07.21,step 3 (isabelle),yes,24,9,8,1.13,3,0.35,no,yes
AG,18.06.21,30.07.21,Step 4 (Isabelle),yes,36,12,10,1.94,3,0.27,yes,no
AG,18.06.21,30.07.21,Step 4 (Isabelle),yes,24,9,8,0.74,1,0.2,no,no
AG,18.06.21,30.07.21,Step 4 (Isabelle),yes,24,9,8,0.73,1,0.06,yes,no
AG,18.06.21,30.07.21,Step 4 (Isabelle),no,37,12,10,1.74,NA,NA,yes,no
AG,18.06.21,30.07.21,Step 4 (Isabelle),no,26,9,8,0.79,NA,NA,no,yes
AG,18.06.21,30.07.21,Step 4 (Isabelle),no,22,10,8,0.55,NA,NA,no,yes
AG,18.06.21,30.07.21,Step 5 (Isabelle),yes,33,10,9,1.39,4,0.31,yes,no
AG,18.06.21,30.07.21,Step 5 (Isabelle),yes,32,11,10,1.54,1,0.08,yes,no
AG,18.06.21,30.07.21,Step 5 (Isabelle),yes,25,9,8,0.75,2,0.04,no,no
AG,18.06.21,30.07.21,Step 5 (Isabelle),no,31,11,9,1.06,NA,NA,yes,no
AG,18.06.21,30.07.21,Step 5 (Isabelle),no,25,9,8,0.59,NA,NA,no,yes
AG,18.06.21,30.07.21,Step 5 (Isabelle),no,22,10,7,0.48,NA,NA,no,yes
AG,18.06.21,30.07.21,Step 6 (Isabelle),yes,39,13,10,2.14,6,0.5,yes,no
AG,18.06.21,30.07.21,Step 6 (Isabelle),yes,25,9,8,0.8,6,0.44,no,yes
AG,18.06.21,30.07.21,Step 6 (Isabelle),yes,25,9,8,0.71,1,0.01,no,no
AG,18.06.21,30.07.21,Step 6 (Isabelle),no,38,11,10,0.72,NA,NA,yes,no
AG,18.06.21,30.07.21,Step 6 (Isabelle),no,23,9,8,0.59,NA,NA,yes,yes
AG,18.06.21,30.07.21,Step 6 (Isabelle),no,22,8,7,0.57,NA,NA,no,no
KP,18.06.21,30.07.21,Step 7 (Isabelle),no,22,7,6,0.48,NA,NA,no,yes
KP,18.06.21,30.07.21,Step 7 (Isabelle),yes,29,10,7,0.75,1,0.05,no,yes
KP,18.06.21,30.07.21,Step 7 (Isabelle),no,21,8,6,0.55,NA,NA,no,yes
KP,18.06.21,30.07.21,Step 7 (Isabelle),yes,22,8,6,0.56,4,0.41,no,no
KP,18.06.21,30.07.21,Step 7 (Isabelle),no,29,10,8,0.89,NA,NA,no,yes
KP,18.06.21,30.07.21,Step 7 (Isabelle),yes,28,11,8,1.04,10,0.31,no,yes
AG,18.06.21,30.07.21,Step 8 (Isabelle),yes,32,13,11,1.75,2,0.28,yes,no
AG,18.06.21,30.07.21,Step 8 (Isabelle),yes,27,12,10,0.9,7,0.21,no,yes
AG,18.06.21,30.07.21,Step 8 (Isabelle),yes,25,9,8,0.66,1,0.02,yes,no
AG,18.06.21,30.07.21,Step 8 (Isabelle),yes,24,10,8,0.69,1,0.01,yes,no
AG,18.06.21,30.07.21,Step 8 (Isabelle),no,32,12,10,1.38,NA,NA,yes,no
AG,18.06.21,30.07.21,Step 8 (Isabelle),no,23,10,8,0.62,NA,NA,no,no
AG,18.06.21,30.07.21,Step 8 (Isabelle),no,23,10,9,0.73,NA,NA,no,yes
AG,18.06.21,30.07.21,Step 8 (Isabelle),no,23,9,8,0.57,NA,NA,no,yes
